name,code,ladder,happinessScore,freedom,logOfGDperCapita,generosity,healthyLifeExpectancy,corruption,socialSupport,dystopia,whiskerHigh,whiskerLow
Afghanistan,AFG,145,3.6,0.1,0.3,0.2,0.3,0.0,0.5,2.2,3.7,3.5
Albania,ALB,112,4.6,0.4,0.9,0.1,0.8,0.0,0.8,1.5,4.7,4.5
Algeria,DZA,84,5.3,0.1,1.0,0.1,0.7,0.1,1.2,2.2,5.4,5.2
Angola,AGO,142,3.8,0.0,0.7,0.1,0.3,0.1,1.1,1.5,4.0,3.6
Argentina,ARG,29,6.4,0.6,1.1,0.1,0.7,0.1,1.5,2.4,6.5,6.3
Armenia,ARM,129,4.3,0.3,0.8,0.1,0.7,0.0,1.0,1.5,4.4,4.2
Australia,AUS,10,7.3,0.6,1.3,0.4,0.9,0.3,1.6,2.1,7.4,7.2
Austria,AUT,12,7.1,0.6,1.3,0.2,0.9,0.2,1.5,2.3,7.2,7.1
Azerbaijan,AZE,87,5.2,0.4,1.0,0.0,0.6,0.2,1.2,1.8,5.3,5.1
Bahrain,BHR,43,6.1,0.6,1.3,0.2,0.7,0.1,1.4,1.7,6.2,6.0
Bangladesh,BGD,115,4.5,0.6,0.5,0.2,0.6,0.1,0.8,1.7,4.6,4.4
Belarus,BLR,73,5.5,0.3,1.0,0.1,0.7,0.2,1.5,1.7,5.6,5.4
Belgium,BEL,16,6.9,0.6,1.3,0.2,0.9,0.2,1.5,2.2,7.0,6.9
Belize,BLZ,49,6.0,0.6,0.8,0.2,0.5,0.1,1.1,2.7,6.2,5.7
Benin,BEN,136,4.1,0.4,0.4,0.2,0.2,0.1,0.4,2.5,4.3,4.0
Bhutan,BTN,97,5.1,0.5,0.8,0.4,0.5,0.2,1.3,1.3,5.2,5.0
Bolivia,BOL,62,5.8,0.6,0.8,0.1,0.5,0.1,1.2,2.5,5.8,5.7
Bosnia and Herzegovina,BIH,93,5.1,0.3,0.9,0.2,0.8,0.0,1.1,1.9,5.2,5.0
Botswana,BWA,146,3.6,0.6,1.0,0.0,0.4,0.1,1.2,0.3,3.7,3.5
Brazil,BRA,28,6.4,0.5,1.0,0.1,0.7,0.1,1.5,2.6,6.5,6.3
Bulgaria,BGR,100,4.9,0.4,1.1,0.1,0.7,0.0,1.5,1.2,5.0,4.8
Burkina Faso,BFA,121,4.4,0.3,0.3,0.2,0.3,0.1,1.1,2.1,4.5,4.3
Burundi,BDI,156,2.9,0.1,0.1,0.1,0.1,0.1,0.6,1.8,3.1,2.7
Cambodia,KHM,120,4.4,0.7,0.5,0.3,0.5,0.1,1.1,1.3,4.5,4.3
Cameroon,CMR,99,5.0,0.5,0.5,0.2,0.2,0.0,0.9,2.7,5.1,4.9
Canada,CAN,7,7.3,0.7,1.3,0.3,0.9,0.3,1.5,2.3,7.4,7.2
Central African Republic,CAF,155,3.1,0.3,0.0,0.2,0.0,0.0,0.0,2.5,3.2,2.9
Chad,TCD,131,4.3,0.2,0.4,0.2,0.1,0.1,0.9,2.6,4.4,4.2
Chile,CHL,25,6.5,0.4,1.1,0.2,0.8,0.1,1.3,2.5,6.6,6.4
China,CHN,86,5.2,0.6,1.0,0.0,0.8,0.1,1.1,1.6,5.3,5.2
Colombia,COL,37,6.3,0.5,1.0,0.1,0.6,0.0,1.4,2.6,6.4,6.2
Congo (Brazzaville),COG,114,4.6,0.5,0.7,0.1,0.3,0.1,0.8,2.0,4.7,4.4
Congo (Kinshasa),COD,132,4.2,0.3,0.1,0.2,0.2,0.1,1.1,2.3,4.3,4.1
Costa Rica,CRI,13,7.1,0.6,1.0,0.1,0.8,0.1,1.5,2.9,7.2,7.0
Croatia,HRV,82,5.3,0.4,1.1,0.1,0.7,0.0,1.2,1.8,5.4,5.2
Cyprus,CYP,61,5.8,0.4,1.2,0.2,0.9,0.0,1.2,1.8,5.9,5.7
Czech Republic,CZE,21,6.7,0.5,1.2,0.1,0.9,0.0,1.5,2.5,6.8,6.6
Denmark,DNK,3,7.6,0.7,1.4,0.3,0.9,0.4,1.6,2.4,7.6,7.5
Dominican Republic,DOM,83,5.3,0.6,1.0,0.1,0.6,0.1,1.4,1.5,5.4,5.2
Ecuador,ECU,48,6.0,0.6,0.9,0.1,0.7,0.1,1.3,2.2,6.1,5.9
Egypt,EGY,122,4.4,0.3,0.9,0.1,0.6,0.1,1.0,1.4,4.5,4.3
El Salvador,SLV,40,6.2,0.5,0.8,0.1,0.6,0.1,1.2,2.9,6.3,6.1
Estonia,EST,63,5.7,0.6,1.2,0.1,0.7,0.2,1.5,1.5,5.8,5.7
Ethiopia,ETH,127,4.4,0.5,0.3,0.2,0.4,0.1,1.0,1.9,4.4,4.3
Finland,FIN,1,7.6,0.7,1.3,0.2,0.9,0.4,1.6,2.6,7.7,7.6
France,FRA,23,6.5,0.5,1.3,0.1,0.9,0.2,1.5,2.0,6.6,6.4
Gabon,GAB,103,4.8,0.4,1.0,0.0,0.4,0.1,1.2,1.7,4.9,4.7
Georgia,GEO,128,4.3,0.4,0.9,0.0,0.6,0.2,0.6,1.6,4.4,4.3
Germany,DEU,15,7.0,0.6,1.3,0.3,0.9,0.3,1.5,2.2,7.0,6.9
Ghana,GHA,108,4.7,0.5,0.6,0.2,0.3,0.0,0.9,2.1,4.8,4.5
Greece,GRC,79,5.4,0.1,1.2,0.0,0.9,0.0,1.2,1.9,5.5,5.3
Guatemala,GTM,30,6.4,0.6,0.8,0.2,0.6,0.1,1.3,2.9,6.5,6.3
Guinea,GIN,140,4.0,0.4,0.3,0.2,0.2,0.1,0.8,1.9,4.1,3.9
Haiti,HTI,148,3.6,0.0,0.3,0.4,0.3,0.1,0.7,1.7,3.7,3.5
Honduras,HND,72,5.5,0.5,0.6,0.2,0.6,0.1,1.2,2.3,5.6,5.4
"Hong Kong SAR, China",HKG,76,5.4,0.5,1.4,0.2,1.0,0.3,1.3,0.6,5.5,5.3
Hungary,HUN,69,5.6,0.3,1.2,0.1,0.7,0.0,1.4,2.0,5.7,5.5
Iceland,ISL,4,7.5,0.7,1.3,0.4,0.9,0.1,1.6,2.4,7.6,7.4
India,IND,133,4.2,0.5,0.7,0.2,0.5,0.1,0.7,1.4,4.2,4.1
Indonesia,IDN,96,5.1,0.5,0.9,0.5,0.5,0.0,1.2,1.4,5.2,5.0
Iran,IRN,106,4.7,0.5,1.1,0.3,0.7,0.1,0.8,1.3,4.8,4.6
Iraq,IRQ,117,4.5,0.3,1.0,0.1,0.5,0.1,1.0,1.4,4.6,4.3
Ireland,IRL,14,7.0,0.6,1.4,0.3,0.9,0.3,1.6,1.8,7.1,6.9
Israel,ISR,11,7.2,0.5,1.2,0.3,0.9,0.1,1.4,2.8,7.3,7.1
Italy,ITA,47,6.0,0.3,1.3,0.1,0.9,0.0,1.5,1.8,6.1,5.9
Ivory Coast,CIV,107,4.7,0.5,0.5,0.1,0.1,0.1,0.9,2.5,4.8,4.6
Jamaica,JAM,56,5.9,0.6,0.8,0.1,0.7,0.0,1.5,2.2,6.1,5.7
Japan,JPN,54,5.9,0.6,1.3,0.1,1.0,0.1,1.5,1.4,6.0,5.8
Jordan,JOR,90,5.2,0.5,0.8,0.1,0.6,0.1,1.3,1.7,5.3,5.1
Kazakhstan,KAZ,60,5.8,0.5,1.1,0.1,0.6,0.1,1.5,1.8,5.9,5.7
Kenya,KEN,124,4.4,0.5,0.5,0.4,0.5,0.1,1.0,1.5,4.5,4.3
Kosovo,XKX,66,5.7,0.4,0.9,0.3,0.6,0.0,1.2,2.3,5.8,5.6
Kuwait,KWT,45,6.1,0.6,1.5,0.2,0.7,0.1,1.3,1.8,6.2,6.0
Kyrgyzstan,KGZ,92,5.1,0.5,0.5,0.3,0.6,0.0,1.4,1.7,5.2,5.0
Laos,LAO,110,4.6,0.6,0.7,0.2,0.4,0.2,1.0,1.4,4.8,4.5
Latvia,LVA,53,5.9,0.4,1.1,0.1,0.7,0.1,1.5,2.1,6.0,5.9
Lebanon,LBN,88,5.2,0.3,1.0,0.2,0.8,0.0,1.2,1.8,5.3,5.1
Lesotho,LSO,141,3.8,0.4,0.5,0.1,0.1,0.1,1.2,1.4,4.0,3.6
Liberia,LBR,149,3.5,0.4,0.1,0.2,0.3,0.0,0.9,1.6,3.6,3.4
Libya,LBY,70,5.6,0.5,1.0,0.1,0.6,0.1,1.3,1.9,5.7,5.4
Lithuania,LTU,50,6.0,0.3,1.2,0.0,0.7,0.0,1.5,2.1,6.0,5.9
Luxembourg,LUX,17,6.9,0.6,1.6,0.2,0.9,0.3,1.5,1.8,7.0,6.8
Macedonia,MKD,89,5.2,0.4,1.0,0.2,0.7,0.1,1.2,1.7,5.3,5.1
Madagascar,MDG,143,3.8,0.2,0.3,0.2,0.4,0.0,0.9,1.8,3.9,3.7
Malawi,MWI,147,3.6,0.5,0.2,0.2,0.3,0.1,0.5,1.7,3.7,3.5
Malaysia,MYS,35,6.3,0.4,1.2,0.3,0.7,0.1,1.3,2.5,6.5,6.2
Mali,MLI,118,4.4,0.4,0.4,0.1,0.2,0.1,1.2,2.1,4.5,4.4
Malta,MLT,22,6.6,0.6,1.3,0.4,0.9,0.1,1.5,1.8,6.7,6.5
Mauritania,MRT,126,4.4,0.1,0.6,0.1,0.3,0.1,1.2,1.9,4.4,4.3
Mauritius,MUS,55,5.9,0.6,1.1,0.2,0.7,0.0,1.4,1.9,6.0,5.8
Mexico,MEX,24,6.5,0.5,1.0,0.1,0.8,0.1,1.3,2.8,6.6,6.4
Moldova,MDA,67,5.6,0.2,0.7,0.2,0.6,0.0,1.3,2.7,5.7,5.6
Mongolia,MNG,94,5.1,0.4,0.9,0.3,0.6,0.0,1.5,1.4,5.2,5.1
Montenegro,MNE,81,5.3,0.3,1.0,0.1,0.7,0.1,1.3,1.9,5.5,5.2
Morocco,MAR,85,5.3,0.5,0.8,0.0,0.7,0.1,0.8,2.4,5.3,5.2
Mozambique,MOZ,123,4.4,0.5,0.2,0.2,0.2,0.2,0.9,2.2,4.6,4.3
Myanmar,MMR,130,4.3,0.6,0.7,0.6,0.4,0.2,1.2,0.7,4.4,4.2
Namibia,NAM,119,4.4,0.5,0.9,0.1,0.4,0.1,1.3,1.3,4.7,4.2
Nepal,NPL,101,4.9,0.5,0.4,0.3,0.5,0.1,1.2,1.8,5.0,4.8
Netherlands,NLD,6,7.4,0.6,1.4,0.3,0.9,0.3,1.5,2.4,7.5,7.4
New Zealand,NZL,8,7.3,0.7,1.3,0.4,0.9,0.4,1.6,2.2,7.4,7.2
Nicaragua,NIC,41,6.1,0.5,0.7,0.2,0.7,0.1,1.3,2.6,6.3,6.0
Niger,NER,134,4.2,0.4,0.1,0.2,0.2,0.1,0.9,2.3,4.3,4.1
Nigeria,NGA,91,5.2,0.5,0.7,0.2,0.0,0.0,1.2,2.6,5.3,5.0
Northern Cyprus,CYP,58,5.8,0.5,1.2,0.2,0.9,0.2,1.2,1.7,6.0,5.7
Norway,NOR,2,7.6,0.7,1.5,0.3,0.9,0.3,1.6,2.4,7.7,7.5
Pakistan,PAK,75,5.5,0.3,0.7,0.2,0.4,0.1,0.8,2.9,5.5,5.4
Palestinian Territories,PSE,104,4.7,0.3,0.6,0.1,0.6,0.1,1.2,1.9,4.9,4.6
Panama,PAN,27,6.4,0.6,1.1,0.1,0.8,0.1,1.4,2.3,6.5,6.3
Paraguay,PRY,64,5.7,0.5,0.8,0.2,0.6,0.1,1.5,1.9,5.8,5.6
Peru,PER,65,5.7,0.5,0.9,0.1,0.7,0.0,1.2,2.2,5.8,5.6
Philippines,PHL,71,5.5,0.6,0.8,0.1,0.5,0.1,1.3,2.1,5.6,5.4
Poland,POL,42,6.1,0.5,1.2,0.1,0.8,0.1,1.4,2.0,6.2,6.0
Portugal,PRT,77,5.4,0.6,1.2,0.1,0.9,0.0,1.4,1.3,5.5,5.3
Qatar,QAT,32,6.4,0.7,1.6,0.3,0.7,0.2,1.3,1.6,6.6,6.2
Romania,ROU,52,5.9,0.5,1.1,0.1,0.7,0.0,1.2,2.3,6.0,5.9
Russia,RUS,59,5.8,0.4,1.2,0.1,0.6,0.0,1.5,2.1,5.9,5.7
Rwanda,RWA,151,3.4,0.6,0.3,0.2,0.4,0.4,0.9,0.5,3.5,3.3
Saudi Arabia,SAU,33,6.4,0.5,1.4,0.1,0.6,0.1,1.3,2.3,6.5,6.3
Senegal,SEN,109,4.6,0.4,0.4,0.1,0.4,0.1,1.1,2.0,4.7,4.6
Serbia,SRB,78,5.4,0.3,1.0,0.1,0.7,0.0,1.4,1.9,5.5,5.3
Sierra Leone,SLE,113,4.6,0.4,0.3,0.2,0.0,0.1,0.8,2.9,4.7,4.4
Singapore,SGP,34,6.3,0.6,1.5,0.3,1.0,0.5,1.5,1.0,6.4,6.3
Slovakia,SVK,39,6.2,0.4,1.2,0.1,0.8,0.0,1.5,2.2,6.3,6.1
Slovenia,SVN,51,5.9,0.6,1.2,0.2,0.9,0.1,1.5,1.5,6.0,5.9
Somalia,SOM,98,5.0,0.7,0.0,0.2,0.1,0.3,0.7,3.0,5.1,4.9
South Africa,ZAF,105,4.7,0.5,0.9,0.1,0.3,0.1,1.4,1.4,4.8,4.6
South Korea,KOR,57,5.9,0.2,1.3,0.2,1.0,0.1,1.2,2.0,6.0,5.8
South Sudan,SSD,154,3.3,0.1,0.3,0.2,0.2,0.1,0.6,1.7,3.4,3.1
Spain,ESP,36,6.3,0.4,1.3,0.1,1.0,0.1,1.5,1.9,6.4,6.2
Sri Lanka,LKA,116,4.5,0.6,0.9,0.3,0.7,0.1,1.3,0.6,4.6,4.3
Sudan,SDN,137,4.1,0.0,0.6,0.1,0.3,0.1,1.2,1.7,4.3,3.9
Sweden,SWE,9,7.3,0.7,1.4,0.3,0.9,0.4,1.5,2.2,7.4,7.2
Switzerland,CHE,5,7.5,0.7,1.4,0.3,0.9,0.4,1.5,2.3,7.6,7.4
Syria,SYR,150,3.5,0.1,0.7,0.4,0.5,0.1,0.4,1.2,3.7,3.3
Taiwan Province of China,TWN,26,6.4,0.4,1.4,0.2,0.9,0.1,1.4,2.1,6.5,6.4
Tajikistan,TJK,80,5.4,0.5,0.5,0.2,0.6,0.1,1.2,2.2,5.4,5.3
Tanzania,TZA,153,3.3,0.5,0.5,0.3,0.4,0.1,1.0,0.6,3.4,3.2
Thailand,THA,46,6.1,0.6,1.0,0.4,0.7,0.0,1.4,1.9,6.2,6.0
Togo,TGO,139,4.0,0.4,0.3,0.2,0.3,0.1,0.5,2.3,4.1,3.9
Trinidad & Tobago,TTO,38,6.2,0.6,1.2,0.2,0.6,0.0,1.5,2.1,6.4,6.0
Tunisia,TUN,111,4.6,0.3,0.9,0.0,0.7,0.1,0.9,1.7,4.7,4.5
Turkey,TUR,74,5.5,0.3,1.1,0.1,0.7,0.1,1.4,1.7,5.6,5.4
Turkmenistan,TKM,68,5.6,0.4,1.0,0.2,0.5,0.0,1.5,1.9,5.7,5.6
Uganda,UGA,135,4.2,0.4,0.3,0.3,0.2,0.1,1.1,1.7,4.3,4.0
Ukraine,UKR,138,4.1,0.2,0.8,0.2,0.6,0.0,1.4,0.9,4.2,4.0
United Arab Emirates,ARE,20,6.8,0.7,1.5,0.3,0.8,0.2,1.3,2.1,6.8,6.7
United Kingdom,GBR,19,6.8,0.5,1.3,0.4,0.9,0.3,1.6,1.9,6.9,6.7
United States,USA,18,6.9,0.5,1.4,0.3,0.8,0.1,1.5,2.2,7.0,6.8
Uruguay,URY,31,6.4,0.6,1.1,0.1,0.8,0.2,1.5,2.1,6.5,6.3
Uzbekistan,UZB,44,6.1,0.7,0.7,0.3,0.6,0.3,1.6,1.9,6.2,6.0
Venezuela,VEN,102,4.8,0.1,1.0,0.1,0.7,0.1,1.5,1.4,5.0,4.7
Vietnam,VNM,95,5.1,0.6,0.7,0.2,0.7,0.1,1.4,1.4,5.2,5.0
Yemen,YEM,152,3.4,0.2,0.4,0.1,0.3,0.1,1.1,1.1,3.4,3.3
Zambia,ZMB,125,4.4,0.5,0.6,0.2,0.3,0.1,1.0,1.7,4.5,4.2
Zimbabwe,ZWE,144,3.7,0.4,0.4,0.1,0.2,0.1,1.1,1.4,3.8,3.6
