name,code,ladder,corruption,freedom,generosity,healthyLifeExpectancy,logOfGDperCapita,negativeAffect,positiveAffect,socialSupport,sdOfLadder
Afghanistan,AFG,154.0,136.00,155.00,137.00,139.00,134.00,133.00,152.00,151.00,25.00
Albania,ALB,107.0,134.00,87.00,60.00,40.00,81.00,108.00,90.00,133.00,126.00
Algeria,DZA,88.0,46.00,149.00,128.00,78.00,72.00,106.00,113.00,101.00,56.00
Argentina,ARG,47.0,109.00,54.00,123.00,37.00,55.00,93.00,28.00,46.00,97.00
Armenia,ARM,116.0,93.00,123.00,129.00,64.00,91.00,145.00,126.00,117.00,82.00
Australia,AUS,11.0,13.00,17.00,6.00,10.00,18.00,37.00,47.00,7.00,26.00
Austria,AUT,10.0,19.00,26.00,25.00,15.00,16.00,24.00,64.00,31.00,10.00
Azerbaijan,AZE,90.0,22.00,101.00,146.00,82.00,65.00,20.00,134.00,104.00,24.00
Bahrain,BHR,37.0,,24.00,23.00,42.00,20.00,83.00,39.00,59.00,83.00
Bangladesh,BGD,125.0,36.00,27.00,107.00,90.00,119.00,68.00,145.00,126.00,52.00
Belarus,BLR,81.0,37.00,131.00,103.00,76.00,58.00,36.00,149.00,33.00,22.00
Belgium,BEL,18.0,20.00,53.00,44.00,26.00,21.00,53.00,57.00,22.00,7.00
Benin,BEN,102.0,75.00,103.00,116.00,133.00,128.00,148.00,118.00,153.00,149.00
Bhutan,BTN,95.0,25.00,59.00,13.00,104.00,95.00,98.00,37.00,68.00,6.00
Bolivia,BOL,61.0,91.00,35.00,104.00,94.00,101.00,138.00,70.00,93.00,71.00
Bosnia and Herzegovina,BIH,78.0,145.00,137.00,32.00,50.00,82.00,79.00,116.00,92.00,80.00
Botswana,BWA,148.0,54.00,60.00,150.00,113.00,66.00,65.00,87.00,105.00,125.00
Brazil,BRA,32.0,71.00,84.00,108.00,72.00,70.00,105.00,69.00,43.00,116.00
Bulgaria,BGR,97.0,147.00,115.00,112.00,65.00,56.00,13.00,117.00,18.00,47.00
Burkina Faso,BFA,115.0,47.00,127.00,125.00,136.00,137.00,117.00,115.00,116.00,92.00
Burundi,BDI,145.0,23.00,135.00,149.00,135.00,151.00,126.00,98.00,152.00,138.00
Cambodia,KHM,109.0,94.00,2.00,61.00,102.00,116.00,142.00,27.00,109.00,135.00
Cameroon,CMR,96.0,120.00,90.00,91.00,141.00,121.00,129.00,106.00,129.00,131.00
Canada,CAN,9.0,11.00,9.00,14.00,8.00,19.00,49.00,18.00,20.00,23.00
Central African Republic,CAF,155.0,122.00,133.00,113.00,150.00,152.00,153.00,132.00,155.00,117.00
Chad,TCD,132.0,80.00,142.00,106.00,148.00,133.00,151.00,136.00,141.00,139.00
Chile,CHL,26.0,99.00,98.00,45.00,30.00,49.00,78.00,15.00,58.00,61.00
China,CHN,93.0,,31.00,133.00,34.00,68.00,11.00,21.00,108.00,72.00
Colombia,COL,43.0,124.00,56.00,111.00,51.00,74.00,88.00,30.00,52.00,120.00
Comoros,COM,142.0,81.00,148.00,62.00,117.00,143.00,114.00,67.00,143.00,143.00
Congo (Brazzaville),COG,103.0,60.00,92.00,140.00,116.00,111.00,136.00,124.00,138.00,152.00
Congo (Kinshasa),COD,127.0,106.00,125.00,127.00,140.00,149.00,95.00,125.00,107.00,78.00
Costa Rica,CRI,12.0,58.00,16.00,75.00,28.00,67.00,87.00,4.00,42.00,62.00
Croatia,HRV,75.0,139.00,118.00,81.00,32.00,50.00,101.00,122.00,79.00,29.00
Cyprus,CYP,49.0,115.00,81.00,39.00,6.00,33.00,99.00,60.00,90.00,95.00
Czech Republic,CZE,20.0,121.00,58.00,117.00,31.00,32.00,22.00,74.00,24.00,20.00
Denmark,DNK,2.0,3.00,6.00,22.00,23.00,14.00,26.00,24.00,4.00,13.00
Dominican Republic,DOM,77.0,52.00,43.00,93.00,80.00,69.00,77.00,66.00,55.00,155.00
Ecuador,ECU,50.0,68.00,42.00,95.00,45.00,86.00,113.00,11.00,71.00,113.00
Egypt,EGY,137.0,89.00,129.00,132.00,101.00,85.00,124.00,146.00,118.00,66.00
El Salvador,SLV,35.0,85.00,74.00,134.00,75.00,100.00,84.00,23.00,83.00,112.00
Estonia,EST,55.0,30.00,45.00,83.00,41.00,37.00,6.00,50.00,12.00,32.00
Ethiopia,ETH,134.0,53.00,106.00,99.00,115.00,135.00,74.00,100.00,119.00,38.00
Finland,FIN,1.0,4.00,5.00,47.00,27.00,22.00,10.00,41.00,2.00,4.00
France,FRA,24.0,21.00,69.00,68.00,5.00,25.00,66.00,56.00,32.00,19.00
Gabon,GAB,104.0,103.00,119.00,143.00,108.00,59.00,144.00,111.00,95.00,105.00
Gambia,GMB,120.0,26.00,89.00,64.00,130.00,139.00,109.00,29.00,125.00,142.00
Georgia,GEO,119.0,28.00,104.00,153.00,84.00,87.00,43.00,141.00,147.00,51.00
Germany,DEU,17.0,17.00,44.00,19.00,25.00,17.00,30.00,65.00,39.00,17.00
Ghana,GHA,98.0,117.00,91.00,52.00,121.00,114.00,72.00,92.00,132.00,129.00
Greece,GRC,82.0,123.00,150.00,152.00,21.00,46.00,94.00,102.00,102.00,87.00
Guatemala,GTM,27.0,82.00,25.00,78.00,85.00,99.00,85.00,8.00,78.00,136.00
Guinea,GIN,118.0,70.00,109.00,94.00,137.00,130.00,143.00,82.00,136.00,146.00
Haiti,HTI,147.0,48.00,152.00,20.00,125.00,138.00,119.00,142.00,146.00,111.00
Honduras,HND,59.0,79.00,39.00,51.00,57.00,113.00,73.00,13.00,84.00,151.00
Hong Kong,HKG,76.0,14.00,66.00,18.00,,9.00,28.00,105.00,76.00,33.00
Hungary,HUN,62.0,140.00,138.00,100.00,56.00,42.00,31.00,86.00,51.00,36.00
Iceland,ISL,4.0,45.00,7.00,3.00,13.00,15.00,3.00,3.00,1.00,9.00
India,IND,140.0,73.00,41.00,65.00,105.00,103.00,115.00,93.00,142.00,41.00
Indonesia,IDN,92.0,129.00,48.00,2.00,98.00,83.00,104.00,9.00,94.00,108.00
Iran,IRN,117.0,44.00,117.00,28.00,77.00,54.00,150.00,109.00,134.00,109.00
Iraq,IRQ,126.0,66.00,130.00,73.00,107.00,64.00,154.00,151.00,124.00,147.00
Ireland,IRL,16.0,10.00,33.00,9.00,20.00,6.00,32.00,33.00,6.00,34.00
Israel,ISR,13.0,74.00,93.00,24.00,11.00,31.00,69.00,104.00,38.00,14.00
Italy,ITA,36.0,128.00,132.00,48.00,7.00,29.00,123.00,99.00,23.00,31.00
