name,code,ladder,happinessScore,freedom,logOfGDperCapita,generosity,healthyLifeExpectancy,corruption,socialSupport,dystopia,whiskerHigh,whiskerLow
Afghanistan,AFG,154,3.203,0.000,0.350,0.158,0.361,0.025,0.517,1.793,3.278,3.129
Albania,ALB,107,4.719,0.383,0.947,0.178,0.874,0.027,0.848,1.461,4.829,4.608
Algeria,DZA,88,5.211,0.086,1.002,0.073,0.785,0.114,1.160,1.992,5.304,5.119
Argentina,ARG,47,6.086,0.471,1.092,0.066,0.881,0.050,1.432,2.096,6.192,5.981
Armenia,ARM,116,4.559,0.283,0.850,0.095,0.815,0.064,1.055,1.398,4.652,4.467
Australia,AUS,11,7.228,0.557,1.372,0.332,1.036,0.290,1.548,2.094,7.315,7.141
Austria,AUT,10,7.246,0.532,1.376,0.244,1.016,0.226,1.475,2.378,7.313,7.179
Azerbaijan,AZE,90,5.208,0.351,1.043,0.035,0.769,0.182,1.147,1.680,5.279,5.136
Bahrain,BHR,37,6.199,0.536,1.362,0.255,0.871,0.110,1.368,1.698,6.324,6.075
Bangladesh,BGD,125,4.456,0.527,0.562,0.166,0.723,0.143,0.928,1.406,4.538,4.373
Belarus,BLR,81,5.323,0.235,1.067,0.094,0.789,0.142,1.465,1.531,5.392,5.253
Belgium,BEL,18,6.923,0.473,1.356,0.160,0.986,0.210,1.504,2.235,6.988,6.858
Benin,BEN,102,4.883,0.349,0.393,0.175,0.397,0.082,0.437,3.049,5.022,4.745
Bhutan,BTN,95,5.082,0.457,0.813,0.370,0.604,0.167,1.321,1.350,5.196,4.969
Bolivia,BOL,61,5.779,0.511,0.776,0.137,0.706,0.064,1.209,2.376,5.876,5.683
Bosnia and Herzegovina,BIH,78,5.386,0.212,0.945,0.263,0.845,0.006,1.212,1.905,5.477,5.296
Botswana,BWA,148,3.488,0.455,1.041,0.025,0.538,0.100,1.145,0.183,3.611,3.365
Brazil,BRA,32,6.300,0.390,1.004,0.099,0.802,0.086,1.439,2.480,6.403,6.197
Bulgaria,BGR,97,5.011,0.311,1.092,0.081,0.815,0.004,1.513,1.195,5.098,4.924
Burkina Faso,BFA,115,4.587,0.255,0.331,0.177,0.380,0.113,1.056,2.275,4.695,4.479
Burundi,BDI,145,3.775,0.220,0.046,0.176,0.380,0.180,0.447,2.325,3.985,3.565
Cambodia,KHM,109,4.700,0.609,0.574,0.232,0.637,0.062,1.122,1.465,4.810,4.589
Cameroon,CMR,96,5.044,0.381,0.549,0.187,0.331,0.037,0.910,2.649,5.170,4.918
Canada,CAN,9,7.278,0.584,1.365,0.285,1.039,0.308,1.505,2.193,7.357,7.200
Central African Republic,CAF,155,3.083,0.225,0.026,0.235,0.105,0.035,0.000,2.456,3.227,2.939
Chad,TCD,132,4.350,0.174,0.350,0.198,0.192,0.078,0.766,2.591,4.484,4.215
Chile,CHL,26,6.444,0.357,1.159,0.187,0.920,0.056,1.369,2.397,6.534,6.354
China,CHN,93,5.191,0.521,1.029,0.058,0.893,0.100,1.125,1.466,5.240,5.141
Colombia,COL,43,6.125,0.470,0.985,0.099,0.841,0.034,1.410,2.286,6.229,6.020
Comoros,COM,142,3.973,0.142,0.274,0.275,0.505,0.078,0.757,1.941,4.196,3.749
Congo (Brazzaville),COG,103,4.812,0.372,0.673,0.105,0.508,0.093,0.799,2.262,4.955,4.668
Congo (Kinshasa),COD,127,4.418,0.269,0.094,0.212,0.357,0.053,1.125,2.308,4.543,4.293
Costa Rica,CRI,12,7.167,0.558,1.034,0.144,0.963,0.093,1.441,2.933,7.254,7.081
Croatia,HRV,75,5.432,0.296,1.155,0.119,0.914,0.022,1.266,1.660,5.510,5.354
Cyprus,CYP,49,6.046,0.406,1.263,0.190,1.042,0.041,1.223,1.880,6.149,5.942
Czech Republic,CZE,20,6.852,0.457,1.269,0.046,0.920,0.036,1.487,2.636,6.921,6.783
Denmark,DNK,2,7.600,0.592,1.383,0.252,0.996,0.410,1.573,2.393,7.667,7.534
Dominican Republic,DOM,77,5.425,0.497,1.015,0.113,0.779,0.101,1.401,1.519,5.559,5.291
Ecuador,ECU,50,6.028,0.498,0.912,0.126,0.868,0.087,1.312,2.225,6.130,5.925
Egypt,EGY,137,4.166,0.241,0.913,0.076,0.644,0.067,1.039,1.187,4.252,4.079
El Salvador,SLV,35,6.253,0.430,0.794,0.093,0.789,0.074,1.242,2.831,6.362,6.144
Estonia,EST,55,5.893,0.495,1.237,0.103,0.874,0.161,1.528,1.496,5.965,5.822
Ethiopia,ETH,134,4.286,0.344,0.336,0.209,0.532,0.100,1.033,1.731,4.365,4.206
Finland,FIN,1,7.769,0.596,1.340,0.153,0.986,0.393,1.587,2.714,7.830,7.708
France,FRA,24,6.592,0.436,1.324,0.111,1.045,0.183,1.472,2.021,6.667,6.518
Gabon,GAB,104,4.799,0.295,1.057,0.043,0.571,0.055,1.183,1.596,4.912,4.687
Gambia,GMB,120,4.516,0.382,0.308,0.269,0.428,0.167,0.939,2.023,4.668,4.365
